"place_name","lat","lon","geo","place_descryption","plc_id","tpes"
"""نان لواش""","35.2806057","46.989892","0101000020E61000003849F3C7B47E47403849F3C7B47E4740","""Zagros Town, Sanandaj""","69","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Lavash Bread""","35.280942","46.987244","0101000020E61000000B96EA025E7E47400B96EA025E7E4740","""Sanandaj, Zagros Town, خيابان سيروان""","70","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نان لەواش""","35.274808","46.9825561","0101000020E61000001EFEF565C47D47401EFEF565C47D4740","""Sanandaj, Vila Shahr, خیابان آبشار""","71","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Mellat Bank""","35.3117502","46.9968939","0101000020E61000007C0A25389A7F47407C0A25389A7F4740","""Sanandaj""","72","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank saderat iran""","35.3119948","46.9958085","0101000020E6100000154A26A7767F4740154A26A7767F4740","""Sanandaj""","73","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""City Bank""","35.3212228","46.991156","0101000020E6100000F99D2633DE7E4740F99D2633DE7E4740","""Sanandaj, سنندج- خيابان امام خميني- مقابل گمرک-طبقه همکف واحد خدمات شهري, Imam""","74","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Cooperative Development Bank""","35.3079481","46.9942588","0101000020E61000004EE152DF437F47404EE152DF437F4740","""Sanandaj, Hassan Abad Street""","75","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Ghavamin Bank""","35.3079769","46.9942736","0101000020E61000005BA3795B447F47405BA3795B447F4740","""Sanandaj, Hassan Abad Street""","76","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Resalat Bank""","35.3083084","46.9999456","0101000020E6100000B9E3A837FE7F4740B9E3A837FE7F4740","""Sanandaj, Sayed Qutb""","77","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank Keshavarzi""","35.3100132","46.9958465","0101000020E610000004ABEAE5777F474004ABEAE5777F4740","""Sanandaj, Hassan Abad""","78","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3121431","46.9951719","0101000020E6100000F832F6CA617F4740F832F6CA617F4740","""Sanandaj, Keshavarz Street""","79","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""اداره امورشعب بانك ملي استان كردستان""","35.3107371","46.9962528","0101000020E610000032463536857F474032463536857F4740","""Sanandaj""","80","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank Melli""","35.3105308","46.9962262","0101000020E61000008D351257847F47408D351257847F4740","""Sanandaj""","81","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3105686","46.996395","0101000020E6100000F07211DF897F4740F07211DF897F4740","""Sanandaj""","82","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.313406","46.9924672","0101000020E6100000252D4B2A097F4740252D4B2A097F4740","""Sanandaj, Keshavarz Street""","83","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Ayandeh Bank بانک آینده""","35.3115538","46.9918057","0101000020E610000042BE3A7DF37E474042BE3A7DF37E4740","""Sanandaj""","84","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Tejarat Bank""","35.3083424","46.9977069","0101000020E61000002C3F15DCB47F47402C3F15DCB47F4740","""Sanandaj, Farid Tarif""","85","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3089147","47.0004049","0101000020E61000000B218C440D8047400B218C440D804740","""Sanandaj, Sayed Qutb""","86","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3123379","46.9892026","0101000020E61000001F0FD8309E7E47401F0FD8309E7E4740","""Sanandaj, Mardokh Street""","87","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Bank saderat iran""","35.3172131","46.9985998","0101000020E61000006565451ED27F47406565451ED27F4740","""Sanandaj""","88","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3154261","47.0028377","0101000020E610000013595AFC5C80474013595AFC5C804740","""Sanandaj, خیابان سیروس""","89","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Bank melli""","35.3076993","46.9895118","0101000020E6100000C8009A52A87E4740C8009A52A87E4740","""Sanandaj""","90","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Credit institution Skryh - Sanandaj Branch - 359 Index""","35.304943","46.9981492","0101000020E6100000A7435D5AC37F4740A7435D5AC37F4740","""Sanandaj, Hafez Street""","91","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""کبابی بهار""","35.3102266","46.9954696","0101000020E6100000C314408C6B7F4740C314408C6B7F4740","""Sanandaj, میدان اقبال""","92","[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]"
"""قهوه خانه خالو امیر""","35.3192999","47.0124641","0101000020E6100000E0EF726C98814740E0EF726C98814740","""Sanandaj""","93","[""bar"",""point_of_interest"",""establishment""]"
"""Toreh beauty salon""","35.3113513","46.9866753","0101000020E6100000B0A250604B7E4740B0A250604B7E4740","""Sanandaj""","94","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""سالن زیبایی گیوا""","35.3014371","46.9950485","0101000020E610000089B7CEBF5D7F474089B7CEBF5D7F4740","""Sanandaj""","95","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""Shideh beauty""","35.299774","46.9954498","0101000020E6100000A6E727E66A7F4740A6E727E66A7F4740","""Sanandaj, Jame Jam Boulevard""","96","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""کلبه زیبایی اسلایس""","35.3232786","46.9997699","0101000020E61000003903C875F87F47403903C875F87F4740","""Sanandaj""","97","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""سالن زیبایی ورتاج""","35.3166747","46.974079","0101000020E6100000365CE49EAE7C4740365CE49EAE7C4740","""Sanandaj, Shebli""","98","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""فروشگاه مرادی""","35.307307","46.9919586","0101000020E610000033FED87FF87E474033FED87FF87E4740","""Sanandaj""","99","[""bicycle_store"",""store"",""point_of_interest"",""establishment""]"
"""Rostami bike shop""","35.3133803","47.0069438","0101000020E61000007AF4D088E38047407AF4D088E3804740","""Sanandaj, خیابان, Enqelab""","100","[""bicycle_store"",""store"",""point_of_interest"",""establishment""]"
"""کتاب هفت Seven Book""","35.309585","46.9977173","0101000020E6100000A3135333B57F4740A3135333B57F4740","""Sanandaj""","101","[""book_store"",""store"",""point_of_interest"",""establishment""]"
"""کتاب مهرگان""","35.3091347","46.997315","0101000020E6100000B6679604A87F4740B6679604A87F4740","""Sanandaj, Pasdaran""","102","[""book_store"",""store"",""point_of_interest"",""establishment""]"
"""کتاب شهر""","35.3054158","46.9994071","0101000020E6100000F4F16492EC7F4740F4F16492EC7F4740","""Sanandaj, Pasdaran Street""","103","[""book_store"",""store"",""point_of_interest"",""establishment""]"
"""کتاب نالی(کتێبی نالی)""","35.3194104","46.9959015","0101000020E6100000C8444AB3797F4740C8444AB3797F4740","""Sanandaj, خیابان فرح- پاساژ آبیدر- پلاک ١٠, Farah Street""","104","[""book_store"",""store"",""point_of_interest"",""establishment""]"
"""خرید و فروش کتاب دست دوم و کاغذ باطله""","35.313221","47.0118928","0101000020E6100000688709B485814740688709B485814740","""Sanandaj, Laleh Street""","105","[""book_store"",""store"",""point_of_interest"",""establishment""]"
"""ايستگاه اتوبوس ناصر خسرو""","35.3155659","46.9968336","0101000020E6100000E8C64F3E987F4740E8C64F3E987F4740","""Sanandaj""","106","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Sayed Qutb""","35.3109098","47.0016789","0101000020E6100000EE4BA20337804740EE4BA20337804740","""Sanandaj""","107","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Azadi Square station""","35.3077448","46.9994903","0101000020E6100000AB95534CEF7F4740AB95534CEF7F4740","""Sanandaj""","108","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه سه راه ادب""","35.3035158","47.0010513","0101000020E6100000248FF17222804740248FF17222804740","""Sanandaj, پاسداران""","109","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه دانشکده کشاورزی""","35.3031918","47.0034814","0101000020E610000078921914728047407892191472804740","""Sanandaj, Hadi Ziaoddini Boulevard""","110","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ترمینال سنندج ، مریوان""","35.3218748","46.9861647","0101000020E61000001C7C17A53A7E47401C7C17A53A7E4740","""Sanandaj""","111","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه دانشکده علوم انسانی""","35.2978725","46.9878012","0101000020E61000008B790C45707E47408B790C45707E4740","""Sanandaj""","112","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه سرای سالمندان""","35.2952805","46.9996512","0101000020E61000001EB40D92F47F47401EB40D92F47F4740","""Sanandaj, Jame Jam Boulevard""","113","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه خاک شناسی""","35.2933584","46.9973338","0101000020E610000003194BA2A87F474003194BA2A87F4740","""Sanandaj, کوچه ی خاک شناسی""","114","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه علوم پزشکی""","35.2828801","47.003417","0101000020E610000010A0DFF76F80474010A0DFF76F804740","""Sanandaj, Pasdaran Boulevard""","115","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Abidar Town Bus Stop""","35.2813605","46.9888794","0101000020E61000001258A599937E47401258A599937E4740","""Sanandaj, کوچه هیوا""","116","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ترمینال مریوان-سنندج""","35.3440148","47.013694","0101000020E6100000631399B9C0814740631399B9C0814740","""Sanandaj, A82""","117","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Morvarid""","35.2763813","46.981793","0101000020E61000008B389D64AB7D47408B389D64AB7D4740","""Sanandaj""","118","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Payam Town""","35.2724354","47.0094788","0101000020E6100000AE00F09936814740AE00F09936814740","""Baharan Town, Pasdaran Boulevard""","119","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه خیابان بوستان""","35.2695054","47.0044953","0101000020E61000002A3E4F4D938047402A3E4F4D93804740","""Baharan Town, 22 Bahman Boulevard""","120","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه سوپر شیشه ای""","35.2684324","46.9927955","0101000020E6100000D80E46EC137F4740D80E46EC137F4740","""Sanandaj""","121","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه میدان قانع""","35.268082","46.9960785","0101000020E6100000D7DF12807F7F4740D7DF12807F7F4740","""Sanandaj, 22 Bahman Boulevard""","122","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه 4/19""","35.2655986","47.0092535","0101000020E6100000D0EFFB372F814740D0EFFB372F814740","""Baharan Town, Baharan 4/19""","123","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""Ghane""","35.2605396","46.99242","0101000020E6100000BBF2599E077F4740BBF2599E077F4740","""Sanandaj, Baharan 2/19""","124","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""ایستگاه 3/19""","35.2607323","47.0073009","0101000020E61000009D5D633CEF8047409D5D633CEF804740","""Baharan Town, 29Esfand Boulevard""","125","[""bus_station"",""transit_station"",""point_of_interest"",""establishment""]"
"""تصفیه آب کانی شفا""","35.2973884","46.9970642","0101000020E61000009681B9CC9F7F47409681B9CC9F7F4740","""Sanandaj, Jame Jam Boulevard""","126","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""سرزمین جاذبه Gravity Land""","35.3174722","46.9681111","0101000020E610000080B28410EB7B474080B28410EB7B4740","""Sanandaj, Baharan Town, 35°19'02. 46°58'05., 9th Alley""","127","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافه هنر سنندج""","35.3127102","46.9966394","0101000020E6100000D8733EE1917F4740D8733EE1917F4740","""Sanandaj, Ferdowsi Street""","128","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Rezan Cafè""","35.3130968","46.9957771","0101000020E6100000884DBF9F757F4740884DBF9F757F4740","""Sanandaj, Rezan Road""","129","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Shahr Ghashang Ice Cream""","35.3113681","46.9932248","0101000020E6100000BEC980FD217F4740BEC980FD217F4740","""Sanandaj, Abidar Street""","130","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Wsha Cafe""","35.307971","46.9954348","0101000020E610000070A653686A7F474070A653686A7F4740","""Sanandaj""","131","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافه ژیکان""","35.3096832","47.0009494","0101000020E6100000B5F9241C1F804740B5F9241C1F804740","""Sanandaj""","132","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافه کتاب کال""","35.3119393","46.9898058","0101000020E61000000F32DAF4B17E47400F32DAF4B17E4740","""Sanandaj""","133","[""cafe"",""food"",""store"",""point_of_interest"",""establishment""]"
"""گيم نت كاكتوس(cactoos)""","35.3069918","46.9925326","0101000020E61000005E9BE84E0B7F47405E9BE84E0B7F4740","""Sanandaj, Hasan Abad""","134","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""كافه نيلا""","35.3073346","47.0005253","0101000020E610000009298936118047400929893611804740","""Sanandaj, 12 Ordibehesht Street""","135","[""cafe"",""food"",""store"",""point_of_interest"",""establishment""]"
"""کافه کتاب ترنج Toranj Book Cafe""","35.3131004","47.0029282","0101000020E61000003A9E85F35F8047403A9E85F35F804740","""Sanandaj""","136","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Darin cafe""","35.3130093","46.9892774","0101000020E610000001D64FA4A07E474001D64FA4A07E4740","""Sanandaj""","137","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""سفره خانه صوفی""","35.3160797","47.0013467","0101000020E6100000903AF0202C804740903AF0202C804740","""Sanandaj, خیابان سیروس""","138","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Cafe Viona""","35.3179676","46.9946847","0101000020E6100000722A08D4517F4740722A08D4517F4740","""Sanandaj""","139","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافی شاپ O2""","35.3056008","46.999324","0101000020E6100000CE0D4DD9E97F4740CE0D4DD9E97F4740","""Sanandaj, Pasdaran""","140","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافی شاپ هانی""","35.3056116","46.9994072","0101000020E610000087B13B93EC7F474087B13B93EC7F4740","""Sanandaj""","141","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Cafe 90""","35.3184165","46.9970871","0101000020E6100000B8E1D28CA07F4740B8E1D28CA07F4740","""Sanandaj, Emam Street, No. 90""","142","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافه کتاب ترنج""","35.3094958","47.0053428","0101000020E610000071A2A712AF80474071A2A712AF804740","""Sanandaj, Kordestan Boulevard""","143","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""کافی نت چهارباغ""","35.3207662","47.0015321","0101000020E610000077B22F343280474077B22F3432804740","""Sanandaj""","144","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Emarat Co.""","35.3150617","46.9844431","0101000020E6100000ECA2433B027E4740ECA2433B027E4740","""سنندج-بلوار شبلی- جنب عمارت خسرو آباد""","145","[""cafe"",""food"",""point_of_interest"",""establishment""]"
"""Abidar Regional Park""","35.3071174","46.9701315","0101000020E6100000E3A8DC442D7C4740E3A8DC442D7C4740","""Sanandaj, خ محی الدین حق شناس, Abidar Circular""","146","[""campground"",""park"",""lodging"",""point_of_interest"",""establishment""]"
"""دخانیات""","35.3178434","46.9991711","0101000020E6100000DECDAED6E47F4740DECDAED6E47F4740","""Sanandaj, Taleghani Street""","147","[""car_dealer"",""store"",""point_of_interest"",""establishment""]"
"""اتوگالری هورامان""","35.3031869","47.0072724","0101000020E6100000ED14504DEE804740ED14504DEE804740","""Sanandaj, Geryashan Boulevard""","148","[""car_dealer"",""store"",""point_of_interest"",""establishment""]"
"""نگین خودرو کردستان نمایندگی رعدی""","35.310741","47.043232","0101000020E610000002124DA08885474002124DA088854740","""Sanandaj, 46, شرکت راهنیان کردستان""","149","[""car_dealer"",""store"",""point_of_interest"",""establishment""]"
"""تعمیرگاه ایران خودرو شورش نورالهی""","35.3109437","47.0052862","0101000020E61000005F0FDC37AD8047405F0FDC37AD804740","""Sanandaj, خ, Namaki Boulevard""","150","[""car_repair"",""point_of_interest"",""establishment""]"
"""نمايندگي بوتان كريمي""","35.3013837","47.0019532","0101000020E6100000B00FA10040804740B00FA10040804740","""Sanandaj""","151","[""car_repair"",""point_of_interest"",""establishment""]"
"""میدان نبوت""","35.3131034","47.0113993","0101000020E610000041594288758147404159428875814740","""Sanandaj, 21""","152","[""car_repair"",""store"",""point_of_interest"",""establishment""]"
"""پارس یدک - قطعات یدکی خودرو""","35.3134733","47.0123367","0101000020E61000003185BD3F948147403185BD3F94814740","""Sanandaj""","153","[""car_repair"",""store"",""point_of_interest"",""establishment""]"
